"species","ntypes","types"
"Bullet Mackerel",1,"nongroundfish"
"Butter Clam",1,"nongroundfish"
"Butter Sole",1,"groundfish"
"Butterfish Unid",1,"nongroundfish"
"C-O (C-O Turbot) Sole",1,"nongroundfish"
"CA Sea Cucumber",1,"nongroundfish"
"Cabezon",1,"groundfish"
"Cabezon (Coast)",1,"groundfish"
"Calcigorgia Unid",1,"nongroundfish"
"Calico Rockfish",1,"groundfish"
"Calico Surfperch",1,"nongroundfish"
"California Amberjack",1,"nongroundfish"
"California Armhook Squid",1,"nongroundfish"
"California Barracuda",1,"nongroundfish"
"California Butterfly Ray",1,"nongroundfish"
"California Cookie Star",1,"nongroundfish"
"California Grenadier",1,"groundfish"
"California Halibut",1,"nongroundfish"
"California Headlightfish",1,"nongroundfish"
"California Jackknife Clam",1,"nongroundfish"
"California King Crab",1,"nongroundfish"
"California Lamp Shell",1,"nongroundfish"
"California Lanternfish",1,"nongroundfish"
"California Lizardfish",1,"nongroundfish"
"California Market Squid",1,"nongroundfish"
"California Moray",1,"nongroundfish"
"California Mussel",1,"nongroundfish"
"California Pinch Bug",1,"nongroundfish"
"California Sand Star",1,"nongroundfish"
"California Scorpionfish",1,"groundfish"
"California Sea Slug",1,"nongroundfish"
"California Sheephead",1,"nongroundfish"
"California Skate",1,"groundfish"
"California Slickhead",1,"nongroundfish"
"California Smoothtongue",1,"nongroundfish"
"California Spiny Lobster",1,"nongroundfish"
"California Tonguefish",1,"nongroundfish"
"Canary Rockfish",1,"groundfish"
"Cancer Crab Unid",1,"nongroundfish"
"Capelin",1,"nongroundfish"
"Carangidae",1,"nongroundfish"
"Carinaria cristata",1,"nongroundfish"
"Carinaria japonica",1,"nongroundfish"
"Carinariidae Unid",1,"nongroundfish"
"Carpet Star",1,"nongroundfish"
"Cat Shark Unid",1,"nongroundfish"
"Ceramaster Unid",1,"nongroundfish"
"Chameleon Rockfish",1,"groundfish"
"Chilipepper Rockfish",1,"groundfish"
"Chimney Sponge",1,"nongroundfish"
"China Rockfish",1,"groundfish"
"Chiroteuthis calyx",1,"nongroundfish"
"Chiton Unid",1,"nongroundfish"
"Chrysaora Jellyfish Unid",1,"nongroundfish"
"Chrysopathes Unid",1,"nongroundfish"
"Chub Mackerel",1,"nongroundfish"
"Clam Unid",1,"nongroundfish"
"Clawed Armhook Squid",1,"nongroundfish"
"Clay Pipe Sponge",1,"nongroundfish"
"Club Tipped Anemone",1,"nongroundfish"
"Clupeiforme",1,"nongroundfish"
"Cod Unid",1,"groundfish"
"Codling Unid",1,"nongroundfish"
"Cold Seep Clam",1,"nongroundfish"
"Columbian Anemone",1,"nongroundfish"
"Colus Unid",1,"nongroundfish"
"Combfish Unid",1,"nongroundfish"
"Combtooth Dogfish",1,"nongroundfish"
"Common Blackdevil",1,"nongroundfish"
"Common Thresher Shark",1,"nongroundfish"
"Common/Giant Pacific Octopus",1,"nongroundfish"
"Cone Squid",1,"nongroundfish"
"Coonstripe Shrimp",1,"nongroundfish"
"Coonstriped Shrimp",1,"nongroundfish"
"Copper Rockfish",1,"groundfish"
"Coral Unid",1,"nongroundfish"
"Coral-Bryozoan Unid",1,"nongroundfish"
"Cowcod Rockfish",1,"groundfish"
"Crab Unid",1,"nongroundfish"
"Crangon Unid",1,"nongroundfish"
"Crescent Sea Cucumber",1,"nongroundfish"
"Crested Bigscale",1,"nongroundfish"
"Crested Red Mysid Unid",1,"nongroundfish"
"Crimson Pasiphaeid",1,"nongroundfish"
"Crimson Pasiphaeid Shrimp",1,"nongroundfish"
"Crinoid Unid",1,"nongroundfish"
"Croaker Unid",1,"nongroundfish"
"Crushed Urchin",1,"nongroundfish"
"Crustacean Unid",1,"nongroundfish"
"Crusty Tube Sponge",1,"nongroundfish"
"Cryptic Kelp Crab",1,"nongroundfish"
"Ctenophore Unid",1,"nongroundfish"
"Curlfin Sole",1,"groundfish"
"Cusk-eel Unid",1,"nongroundfish"
"Cutlassfish Unid",1,"nongroundfish"
"Daggertooth",1,"nongroundfish"
"Darkblotched Rockfish",1,"groundfish"
"Decorator Crab",1,"nongroundfish"
"Decorator/Spider Crab Unid",1,"nongroundfish"
"Deep Sea Free Living Sponge Unid",1,"nongroundfish"
"Deep Sea Papillose Sea Cucumber Unid",1,"nongroundfish"
"Deep-sea Fragile Star",1,"nongroundfish"
"Deep-sea Jellyfish Unid",1,"nongroundfish"
"Deep-sea Lobster",1,"nongroundfish"
"Deep-sea Rock Crab",1,"nongroundfish"
"Deep-sea Shrimp Unid",1,"nongroundfish"
"Deep-sea Spider Crab",1,"nongroundfish"
"Deep-sea Spiny Star",1,"nongroundfish"
"Deep-sea Sunflower Star",1,"nongroundfish"
"Deep-sea Sunstar",1,"nongroundfish"
"Deep-sea Whelk",1,"nongroundfish"
"Deepbody Anchovy",1,"nongroundfish"
"Deepsea Skate",1,"groundfish"
"Deepsea Smelt Unid",1,"nongroundfish"
"Deepsea Sole",1,"nongroundfish"
"Deepwater Eelpout",1,"nongroundfish"
"Diamond Stingray",1,"nongroundfish"
"Diamond Turbot",1,"nongroundfish"
"Dock Shrimp",1,"nongroundfish"
"Dogface Witch Eel",1,"nongroundfish"
"Dorado",1,"nongroundfish"
"Dover Sole",1,"groundfish"
"Dragonfish",1,"nongroundfish"
"Dragonfish Unid",1,"nongroundfish"
"Dreamer Unid",1,"nongroundfish"
"Duckbill Barracudina",1,"nongroundfish"
"Duckbill Eel",1,"nongroundfish"
"Dungeness Crab",1,"nongroundfish"
"Dusky Rockfish",1,"groundfish"
"Dusky Sculpin",1,"nongroundfish"
"Dwarf Wrymouth",1,"nongroundfish"
"Eastern Pacific Black Ghost Shark",1,"nongroundfish"
"Echinoderm Unid",1,"nongroundfish"
"Ectoprocta Unid",1,"nongroundfish"
"Eel Unid",1,"nongroundfish"
"Eelpout Unid",1,"nongroundfish"
"Egg-yolk Jellyfish",1,"nongroundfish"
"English Sole",1,"groundfish"
"Equal Armed Star",1,"nongroundfish"
"Eualid Unid",1,"nongroundfish"
"Euphausiid Unid",1,"nongroundfish"
"False Rainbow Star",1,"nongroundfish"
"Fangtooth",1,"nongroundfish"
"Fantail Sole",1,"nongroundfish"
"Feather Star",1,"nongroundfish"
"Fiber Optic Sponge",1,"nongroundfish"
"Filamented Grenadier",1,"groundfish"
"Filetail Cat Shark",1,"nongroundfish"
"Finescale Triggerfish",1,"nongroundfish"
"Fish Eating Anemone",1,"nongroundfish"
"Fish Unid",1,"nongroundfish"
"Fish-eating Star",1,"nongroundfish"
"Flag Rockfish",1,"groundfish"
"Flapjack Devilfish",1,"nongroundfish"
"Flat Mud Star",1,"nongroundfish"
"Flat-legged Spider Crab",1,"nongroundfish"
"Flatfish Unid",2,"groundfish, nongroundfish"
"Flathead Sole",1,"groundfish"
"Fleshy Sea Pen",1,"nongroundfish"
"Flounder Unid",1,"groundfish"
"Flower Sea Pen",1,"nongroundfish"
"Flying Fish Unid",1,"nongroundfish"
"Fragile Rainbow Star",1,"nongroundfish"
"Fragile Red Sea Urchin",1,"nongroundfish"
"Fragile Star",1,"nongroundfish"
"Freckled Rockfish",1,"groundfish"
"Fringed Sculpin",1,"nongroundfish"
"Funiculina quadrangularis",1,"nongroundfish"
"Gaper Clam",1,"nongroundfish"
"Garibaldi",1,"nongroundfish"
"Garnet Lampfish",1,"nongroundfish"
"Ghost Shrimp",1,"nongroundfish"
"Ghostly Grenadier",1,"groundfish"
"Giant Anemone",1,"nongroundfish"
"Giant Armored Brittle Star",1,"nongroundfish"
"Giant Grenadier",1,"groundfish"
"Giant Kelpfish",1,"nongroundfish"
"Giant Mud Urchin",1,"nongroundfish"
"Giant Pacific Octopus",1,"nongroundfish"
"Giant Red Mysid",1,"nongroundfish"
"Giant Sea Bass",1,"nongroundfish"
"Giant Sea Biscuit",1,"nongroundfish"
"Giant Serpent Star",1,"nongroundfish"
"Giant Soft Cucumber",1,"nongroundfish"
"Giant Squid",1,"nongroundfish"
"Giant Wrymouth",1,"nongroundfish"
"Glass Scallop",1,"nongroundfish"
"Glass Shrimp",1,"nongroundfish"
"Glass Squid Unid",1,"nongroundfish"
"Glyptolithodes cristatipes",1,"nongroundfish"
"Goblet Sponge",1,"nongroundfish"
"Golden Coral",1,"nongroundfish"
"Golden Prawn",1,"nongroundfish"
"Gonatopsis Unid",1,"nongroundfish"
"Gonatus Unid",1,"nongroundfish"
"Gopher Rockfish",1,"groundfish"
"Gorgonian",1,"nongroundfish"
"Gorgonian Coral Unid",1,"nongroundfish"
"Graceful Crab",1,"nongroundfish"
"Grainy Star",1,"nongroundfish"
"Grape Anemone",1,"nongroundfish"
"Grass Rockfish",1,"groundfish"
"Gray Smoothhound Shark",1,"nongroundfish"
"Green Anemone",1,"nongroundfish"
"Green Top Snail",1,"nongroundfish"
"Greenblotched Rockfish",1,"groundfish"
"Greenland Turbot",1,"nongroundfish"
"Greenling Unid",1,"nongroundfish"
"Greenspotted Rockfish",1,"groundfish"
"Greenstriped Rockfish",1,"groundfish"
"Grenadier Unid",1,"groundfish"
"Grooved Sun Star",1,"nongroundfish"
"Grooved Tanner Crab",1,"nongroundfish"
"Groundfish Unid",1,"groundfish"
"Grunt Sculpin",1,"nongroundfish"
"Gunnel Unid",1,"nongroundfish"
"Hagfish Unid",1,"nongroundfish"
"Hair Crab",1,"nongroundfish"
"Hairy Hermit Crab",1,"nongroundfish"
"Halfbanded Rockfish",1,"groundfish"
"Halfmoon",1,"nongroundfish"
"Halibut Unid",1,"nongroundfish"
"Halipteris Unid",1,"nongroundfish"
"Harlequin Rockfish",1,"groundfish"
"Hatchetfish Unid",1,"nongroundfish"
"Heart Crab",1,"nongroundfish"
"Henricia Unid",1,"nongroundfish"
"Hermit Crab",1,"nongroundfish"
"Hermit Crab Unid",1,"nongroundfish"
"Hermit Sponge",1,"nongroundfish"
"Herring Unid",1,"nongroundfish"
"Heteropod/Pteropod Unid",1,"nongroundfish"
"Honeycomb Rockfish",1,"groundfish"
"Hormathiid Anemone Unid",1,"nongroundfish"
"Hormiphora cucumis",1,"nongroundfish"
"Horn Shark",1,"nongroundfish"
"Horny Gorgonian",1,"nongroundfish"
"Hornyhead Turbot",1,"nongroundfish"
"Humboldt (Jumbo) Squid",1,"nongroundfish"
"Humboldt Whelk",1,"nongroundfish"
"Humpback Shrimp",1,"nongroundfish"
"Humpback Snailfish",1,"nongroundfish"
"Hundred Fathom Codling",1,"nongroundfish"
"Hundred Fathom Mora",1,"nongroundfish"
"Hybrid Sole",1,"groundfish"
"Hydrocoral",1,"nongroundfish"
"Hydrozoa Unid",1,"nongroundfish"
"Intermediate Scabbardfish",1,"nongroundfish"
"Invertebrate Unid",1,"nongroundfish"
"Irish Lord Sculpin Unid",1,"nongroundfish"
"Irregular Echinoid",1,"nongroundfish"
"Isopod Unid",1,"nongroundfish"
"Jack Mackerel",1,"nongroundfish"
"Jack/Pompano Unid",1,"nongroundfish"
"Jacksmelt",1,"nongroundfish"
"Jellyfish Unid",1,"nongroundfish"
"Jewel Squid",1,"nongroundfish"
"Jordans Slime Star",1,"nongroundfish"
"Kamchatka Eelpout",1,"nongroundfish"
"Kamchatka Flounder",1,"nongroundfish"
"Kelp",1,"nongroundfish"
"Kelp Bass",1,"nongroundfish"
"Kelp Crab Unid",1,"nongroundfish"
"Kelp Greenling",1,"groundfish"
"Kelp greenling (California)",1,"groundfish"
"Kelp Greenling (Coast)",1,"groundfish"
"Kelp Rockfish",1,"groundfish"
"Kelp Surfperch",1,"nongroundfish"
"Kelpfish Unid",1,"nongroundfish"
"King Crab Unid",1,"nongroundfish"
"King of the Salmon",1,"nongroundfish"
"Krill Unid",1,"nongroundfish"
"Lacy Brittle Star",1,"nongroundfish"
"Lacy-armed Star",1,"nongroundfish"
"Lamp Shell Unid",1,"nongroundfish"
"Lampanyctus Unid",1,"nongroundfish"
"Lamprey Unid",1,"nongroundfish"
"Lancetfish Unid",1,"nongroundfish"
"Lanternfish Unid",1,"nongroundfish"
"Lavender Sculpin",1,"nongroundfish"
"Leaf-like Eel",1,"nongroundfish"
"Leather Star",1,"nongroundfish"
"Leech Unid",1,"nongroundfish"
"Leopard Shark",1,"groundfish"
"Lightfish Unid",1,"nongroundfish"
"Lingcod",1,"groundfish"
"Lion's Mane Jellyfish",1,"nongroundfish"
"Lithodes Unid",1,"nongroundfish"
"Lithoid Crab",1,"nongroundfish"
"Long Horned Decorator Crab",1,"nongroundfish"
"Long-armed Jewel Squid",1,"nongroundfish"
"Long-armed Spider Crab",1,"nongroundfish"
"Long-slit Serpent Star",1,"nongroundfish"
"Longfin Dragonfish",1,"nongroundfish"
"Longfin Sanddab",1,"nongroundfish"
"Longfin Smelt",1,"nongroundfish"
"Longnose Cat Shark",1,"nongroundfish"
"Longnose Lancetfish",1,"nongroundfish"
"Longnose Skate",1,"groundfish"
"Longspine Combfish",1,"nongroundfish"
"Longspine Thornyhead",1,"groundfish"
"Loosejaw Unid",1,"nongroundfish"
"Louvar",1,"nongroundfish"
"Luidia Unid",1,"nongroundfish"
"Lumpsucker Unid",1,"nongroundfish"
"Lumptail Searobin",1,"nongroundfish"
"Lycodapus Unid",1,"nongroundfish"
"Lyre Crab Unid",1,"nongroundfish"
"Mackerel Unid",1,"nongroundfish"
"Magistrate Armhook Squid",1,"nongroundfish"
"Manefish",1,"nongroundfish"
"Manefish Unid",1,"nongroundfish"
"Manila Clam",1,"nongroundfish"
"Mantis Shrimp",1,"nongroundfish"
"Market Squid",1,"nongroundfish"
"Masking Crab",1,"nongroundfish"
"Mediaster Unid",1,"nongroundfish"
"Medusafish",1,"nongroundfish"
"Mexican Rockfish",1,"groundfish"
"Midshipman (Toadfish) Unid",1,"nongroundfish"
"Midwater Eelpout",1,"nongroundfish"
"Mixed Species",1,"nongroundfish"
"Mola Mola (Sunfish)",1,"nongroundfish"
"Mollusk Unid",1,"nongroundfish"
"Monkeyface Prickleback",1,"nongroundfish"
"Moon Jellyfish",1,"nongroundfish"
"Moon Snail",1,"nongroundfish"
"Moray Unid",1,"nongroundfish"
"Moridae Unid",1,"nongroundfish"
"Mud Clam",1,"nongroundfish"
"Mud Shrimp",1,"nongroundfish"
"Mud Star",1,"nongroundfish"
"Mud Urchin",1,"nongroundfish"
"Mud/Rock",1,"nongroundfish"
"Mushroom Coral",1,"nongroundfish"
"Mussel Unid",1,"nongroundfish"
"Native Littleneck Clam",1,"nongroundfish"
"Nearshore Rockfish Unid",1,"groundfish"
"Neptunea Unid",1,"nongroundfish"
"Night Smelt",1,"nongroundfish"
"Non-Eulachon Smelt Unid",1,"nongroundfish"
"Non-Humboldt Squid Unid",1,"nongroundfish"
"North Pacific Armhook Squid",1,"nongroundfish"
"North Pacific Bigeye Octopus",1,"nongroundfish"
"North Pacific Daggertooth",1,"nongroundfish"
"Northern Anchovy",1,"nongroundfish"
"Northern Lampfish",1,"nongroundfish"
"Northern Pearleye",1,"nongroundfish"
"Northern Rock Sole",1,"groundfish"
"Northern Ronquil",1,"nongroundfish"
"Northern Smoothtongue",1,"nongroundfish"
"Northern Spearnose Poacher",1,"nongroundfish"
"Notched Brittle Star",1,"nongroundfish"
"Nudibranch Unid",1,"nongroundfish"
"Ocean Shrimp",1,"nongroundfish"
"Ocean Whitefish",1,"nongroundfish"
"Ocean Won Ton",1,"nongroundfish"
"Octopus Squid",1,"nongroundfish"
"Octopus Unid",1,"nongroundfish"
"Oegopsida Unid",1,"nongroundfish"
"Oldroyd`s Moonsnail",1,"nongroundfish"
"Olive Rockfish",1,"groundfish"
"Olympia Oyster",1,"nongroundfish"
"Oneirodes Unid",1,"nongroundfish"
"Opah",1,"nongroundfish"
"Opalescent Inshore Squid",1,"nongroundfish"
"Opaleye",1,"nongroundfish"
"Ophiopholis Unid",1,"nongroundfish"
"Ophiura Unid",1,"nongroundfish"
"Orange Actinistolid",1,"nongroundfish"
"Orange Sea Pen",1,"nongroundfish"
"Orange Sun Star",1,"nongroundfish"
"Oregon Triton",1,"nongroundfish"
"Oreo",1,"nongroundfish"
"Oval Sea Biscuit",1,"nongroundfish"
"Oxeye Oreo",1,"nongroundfish"
"Pacific Angel Shark",1,"nongroundfish"
"Pacific Argentine",1,"nongroundfish"
"Pacific Black Dogfish",1,"nongroundfish"
"Pacific Blackdragon",1,"nongroundfish"
"Pacific Blacksmelt",1,"nongroundfish"
"Pacific Bluefin Tuna",1,"nongroundfish"
"Pacific Bonito",1,"nongroundfish"
"Pacific Butterfish",1,"nongroundfish"
"Pacific Cod",1,"groundfish"
"Pacific Electric Ray",1,"nongroundfish"
"Pacific Flatnose",1,"groundfish"
"Pacific Geoduck",1,"nongroundfish"
"Pacific Glass Shrimp",1,"nongroundfish"
"Pacific Grenadier",1,"groundfish"
"Pacific Hagfish",1,"nongroundfish"
"Pacific Hake",1,"groundfish"
"Pacific Halibut",1,"nongroundfish"
"Pacific Herring",1,"nongroundfish"
"Pacific Jack Mackerel",1,"nongroundfish"
"Pacific Lamprey",1,"nongroundfish"
"Pacific Mackerel",1,"nongroundfish"
"Pacific Ocean Perch",1,"groundfish"
"Pacific Oyster",1,"nongroundfish"
"Pacific Pomfret",1,"nongroundfish"
"Pacific Pompano",1,"nongroundfish"
"Pacific Rock Crab",1,"nongroundfish"
"Pacific Sanddab",1,"groundfish"
"Pacific Sandfish",1,"nongroundfish"
"Pacific Sandlance",1,"nongroundfish"
"Pacific Sardine",1,"nongroundfish"
"Pacific Saury",1,"nongroundfish"
"Pacific Scabbardfish",1,"nongroundfish"
"Pacific Sea Lemon",1,"nongroundfish"
"Pacific Sergestid",1,"nongroundfish"
"Pacific Sharpnose Shark",1,"nongroundfish"
"Pacific Sleeper Shark",1,"nongroundfish"
"Pacific Snake Eel",1,"nongroundfish"
"Pacific Spiny Lumpsucker",1,"nongroundfish"
"Pacific Staghorn Sculpin",1,"nongroundfish"
"Pacific Tom Cod",1,"nongroundfish"
"Pacific Tomcod",1,"nongroundfish"
"Pacific Viperfish",1,"nongroundfish"
"Painted Anemone",1,"nongroundfish"
"Painted Greenling",1,"nongroundfish"
"Pale Rough Pinch Bug",1,"nongroundfish"
"Pale Snipe Eel",1,"nongroundfish"
"Pallid Eelpout",1,"nongroundfish"
"Pandalid Shrimp Unid",1,"nongroundfish"
"Pandalus Unid",1,"nongroundfish"
"Paperbone Unid",1,"nongroundfish"
"Paragorgia pacifica",1,"nongroundfish"
"Pasiphaeid Shrimp Unid",1,"nongroundfish"
"Peaked Shrimp",1,"nongroundfish"
"Peanut Worm Unid",1,"nongroundfish"
"Pearleye Unid",1,"nongroundfish"
"Pelagic Octopus Unid",1,"nongroundfish"
"Pelagic Red Crab",1,"nongroundfish"
"Pelagic Sea Snail",1,"nongroundfish"
"Pelagic Stingray",1,"nongroundfish"
"Pelagic Thresher Shark",1,"nongroundfish"
"Pelecypoda",1,"nongroundfish"
"Petrale Sole",1,"groundfish"
"Pile Surf Perch",1,"nongroundfish"
"Pile Surfperch",1,"nongroundfish"
"Pinch Bug Unid",1,"nongroundfish"
"Pincushion Sea Star",1,"nongroundfish"
"Pineapple Benthic Siphonophore",1,"nongroundfish"
"Pink Crested Star",1,"nongroundfish"
"Pink Hormathiid Anemone Unid",1,"nongroundfish"
"Pink Rockfish",1,"groundfish"
"Pink Seaperch",1,"nongroundfish"
"Pink Shrimp",1,"nongroundfish"
"Pink Snailfish",1,"nongroundfish"
"Pink Star",1,"nongroundfish"
"Pink Sun Star",1,"nongroundfish"
"Pink Surfperch",1,"nongroundfish"
"Pink Urchin",1,"nongroundfish"
"Pinkrose Rockfish",1,"groundfish"
"Plainfin Midshipman",1,"nongroundfish"
"Plumarella Unid",1,"nongroundfish"
"Poacher Unid",1,"nongroundfish"
"Pom Pom Anemone",1,"nongroundfish"
"Pomfret Unid",1,"nongroundfish"
"Popeye Blacksmelt",1,"nongroundfish"
"Popeye Grenadier",1,"groundfish"
"Porifera Unid",1,"nongroundfish"
"Praya Unid",1,"nongroundfish"
"Prickleback Poacher",1,"nongroundfish"
"Prickleback Unid",1,"nongroundfish"
"Prickly Pomfret",1,"nongroundfish"
"Prickly Shark",1,"nongroundfish"
"Primnoidae Unid",1,"nongroundfish"
"Prowfish",1,"nongroundfish"
"Pteraster Unid",1,"nongroundfish"
"Puget Sound King Crab",1,"nongroundfish"
"Puget Sound Rockfish",1,"groundfish"
"Purple Brotula",1,"nongroundfish"
"Purple Clam",1,"nongroundfish"
"Purple Cone Jelly",1,"nongroundfish"
"Purple Globe Crab",1,"nongroundfish"
"Purple Sea Potato",1,"nongroundfish"
"Purple Striated Anemone",1,"nongroundfish"
"Pygmy Poacher",1,"nongroundfish"
"Pygmy Rockfish",1,"groundfish"
"Pyrosome Unid",1,"nongroundfish"
"Queenfish",1,"nongroundfish"
"Quill Black Corals",1,"nongroundfish"
"Quillback Rockfish",1,"groundfish"
"Quillfish",1,"nongroundfish"
"Rabbit-eared Salp",1,"nongroundfish"
"Ragfish",1,"nongroundfish"
"Rainbow Smelt",1,"nongroundfish"
"Rainbow Surfperch",1,"nongroundfish"
"Ray Unid",1,"nongroundfish"
"Razor Clam",1,"nongroundfish"
"Razor-back Prawn",1,"nongroundfish"
"Red Brittle Star",1,"nongroundfish"
"Red Brotula",1,"nongroundfish"
"Red Irish Lord Sculpin",1,"nongroundfish"
"Red Mysid Unid",1,"nongroundfish"
"Red Octopus",1,"nongroundfish"
"Red Rock Crab",1,"nongroundfish"
"Red Sea Fan Unid",1,"nongroundfish"
"Red Snailfish",1,"nongroundfish"
"Red Star",1,"nongroundfish"
"Red Striated Anemone",1,"nongroundfish"
"Red Urchin",1,"nongroundfish"
"Redbanded Rockfish",1,"groundfish"
"Redstripe Rockfish",1,"groundfish"
"Redtail Surfperch",1,"nongroundfish"
"Reticulated Anemone",1,"nongroundfish"
"Rex Sole",1,"groundfish"
"Ribbon Barracudina",1,"nongroundfish"
"Ribbon Snailfish",1,"nongroundfish"
"Ribbonfish Unid",1,"nongroundfish"
"Ridgeback Prawn",1,"nongroundfish"
"Robust Blacksmelt",1,"nongroundfish"
"Robust Clubhook Squid",1,"nongroundfish"
"Rock Crab",1,"nongroundfish"
"Rock Greenling",1,"nongroundfish"
"Rock Sole",1,"groundfish"
"Rock Sole Unid",1,"groundfish"
"Rock Wrasse",1,"nongroundfish"
