"species","ntypes","types"
"Abalone Jingle",1,"nongroundfish"
"Abalone Unid",1,"nongroundfish"
"Abraliopsis felis",1,"nongroundfish"
"Abyssal Grenadier",1,"groundfish"
"Acanthoptilum gracile",1,"nongroundfish"
"Aequorea Unid",1,"nongroundfish"
"Alaska Skate",1,"groundfish"
"Alaskan Pseudarchaster",1,"nongroundfish"
"Albacore Tuna",1,"nongroundfish"
"Aleutian Skate",1,"groundfish"
"American Shad",1,"nongroundfish"
"Amiphpod Unid",1,"nongroundfish"
"Anchovy Unid",1,"nongroundfish"
"Angel Shark Unid",1,"nongroundfish"
"Anglerfish Unid",1,"nongroundfish"
"Angulatus Tanner Crab",1,"nongroundfish"
"Anthoptilum grandiflorum",1,"nongroundfish"
"Arched Swimming Crab",1,"nongroundfish"
"Argentine Unid",1,"nongroundfish"
"Armed Box Crab",1,"nongroundfish"
"Arrow Squid",1,"nongroundfish"
"Arrowtooth Flounder",1,"groundfish"
"Articulated Bamboo Coral Unid",1,"nongroundfish"
"Atka Mackerel",1,"nongroundfish"
"Aurelia aurita",1,"nongroundfish"
"Aurelia labiata",1,"nongroundfish"
"Aurora Rockfish",1,"groundfish"
"Bairdi Tanner Crab",1,"nongroundfish"
"Bait Shrimp Unid",1,"nongroundfish"
"Bamboo Coral",1,"nongroundfish"
"Banded Guitarfish",1,"nongroundfish"
"Bank Rockfish",1,"groundfish"
"Barbled Dragonfish Unid",1,"nongroundfish"
"Barnacle Unid",1,"nongroundfish"
"Barracudina Unid",1,"nongroundfish"
"Barracudina/Daggertooth Unid",1,"nongroundfish"
"Barred Sand Bass",1,"nongroundfish"
"Barreleye",1,"nongroundfish"
"Barreleye Spookfish Unid",1,"nongroundfish"
"Basket Cockle",1,"nongroundfish"
"Basket Starfish",1,"nongroundfish"
"Basketweave Cusk-eel",1,"nongroundfish"
"Basking Shark",1,"nongroundfish"
"Bass Unid",1,"nongroundfish"
"Bat Ray",1,"nongroundfish"
"Bathypelagic Shrimp Unid",1,"nongroundfish"
"Bay Pipefish",1,"nongroundfish"
"Bearded Eelpout",1,"nongroundfish"
"Benthoctopus Unid",1,"nongroundfish"
"Bering Sea Codling",1,"nongroundfish"
"Bering Skate",1,"groundfish"
"Big Eyed Eualid",1,"nongroundfish"
"Big Skate",1,"groundfish"
"Bigeye Starsnout Poacher",1,"nongroundfish"
"Bigeye Thresher Shark",1,"nongroundfish"
"Bigeye Tuna",1,"nongroundfish"
"Bigfin Eelpout",1,"nongroundfish"
"Bigfin Lanternfish",1,"nongroundfish"
"Bigmouth Sole",1,"nongroundfish"
"Bigscale Unid",1,"nongroundfish"
"Bivalve Unid",1,"nongroundfish"
"Black and Yellow Rockfish",1,"groundfish"
"Black Coral",1,"nongroundfish"
"Black Croaker",1,"nongroundfish"
"Black Eelpout",1,"nongroundfish"
"Black Hagfish",1,"nongroundfish"
"Black Rockfish",1,"groundfish"
"Black Scabbardfish",1,"nongroundfish"
"Black Skate",1,"groundfish"
"Black Skipjack",1,"nongroundfish"
"Black Surfperch",1,"nongroundfish"
"Black Swallower",1,"nongroundfish"
"Blackbelly Dragonfish",1,"nongroundfish"
"Blackbelly Eelpout",1,"nongroundfish"
"Blackchin Unid",1,"nongroundfish"
"Blackdragon Unid",1,"nongroundfish"
"Blackedge Poacher",1,"nongroundfish"
"Blackfin Poacher",1,"nongroundfish"
"Blackfin Snailfish",1,"nongroundfish"
"Blackfin Starnose Poacher",1,"nongroundfish"
"Blackgill Rockfish",1,"groundfish"
"Blackmouth Eelpout",1,"nongroundfish"
"Blacksmelt Unid",1,"nongroundfish"
"Blacksmith",1,"nongroundfish"
"Blacktail Snailfish",1,"nongroundfish"
"Blacktail Snailfish Group",1,"nongroundfish"
"Blacktip Poacher",1,"nongroundfish"
"Blind Lobster Unid
",1,"nongroundfish"
"Blob Sculpin",1,"nongroundfish"
"Blood Star",1,"nongroundfish"
"Blue Lanternfish",1,"nongroundfish"
"Blue Shark",1,"nongroundfish"
"Blue/Bay Mussel",1,"nongroundfish"
"Blue/Deacon Rockfish",1,"groundfish"
"Bluebarred Prickleback",1,"nongroundfish"
"Bluefin Tuna",1,"nongroundfish"
"Bluespotted Poacher",1,"nongroundfish"
"Bluntnose Sixgill Shark",1,"nongroundfish"
"Bobtail Squid",1,"nongroundfish"
"Bocaccio Rockfish",1,"groundfish"
"Bonito (Shortfin Mako) Shark",1,"nongroundfish"
"Boreal Clubhook Squid",1,"nongroundfish"
"Boreopacific Armhook Squid",1,"nongroundfish"
"Box Crab",1,"nongroundfish"
"Brachiopod Unid",1,"nongroundfish"
"Branched Sea Pen",1,"nongroundfish"
"Brisaster Unid",1,"nongroundfish"
"Bristlemouth Unid",1,"nongroundfish"
"Brittle Starfish Unid",1,"nongroundfish"
"Brittle/Basket Star Unid",1,"nongroundfish"
"Brittlestar Unid",1,"nongroundfish"
"Broad Sand Star",1,"nongroundfish"
"Broadfin Lanternfish",1,"nongroundfish"
"Broadnose Sevengill Shark",1,"nongroundfish"
"Brokenline Lampfish",1,"nongroundfish"
"Bronzespotted Rockfish",1,"groundfish"
"Brown Box Crab",1,"nongroundfish"
"Brown Cat Shark",1,"nongroundfish"
"Brown Irish Lord Sculpin",1,"nongroundfish"
"Brown Rockfish",1,"groundfish"
"Brown Smoothhound Shark",1,"nongroundfish"
"Buccinum Unid",1,"nongroundfish"
"Buffalo Sculpin",1,"nongroundfish"
"Bull Sculpin",1,"nongroundfish"
