"year","halibut_lb","other_lb"
2006,225505.45,84668.99
2007,98025.99,346427.14
2008,115770.98,431811.24
2009,216595.08,277918.87
2010,190629.17,274989.82
2011,150648.77,106298.55
2012,138480.35,143943.4
2013,161402.2,107224.8
2014,160430.05,51350.45
2015,181241.2,50692.07
2016,171765.7,34925.7
2017,206040.41,43461.21
2018,139207.28,80514.98
2019,220136.85,62507.82
2020,154275.32,62531.4
