"tow_year","halibut_lb","other_lb"
2006,20141,1364
2007,46621,12784
2008,29097,11376
2009,60535,3979
2010,58007,4713
2011,48237,13363
2012,24810,12749
2013,25831,18830
2014,14551,11974
2015,28850,11887
2016,44034,20398
2017,31818,27157
2018,29317,20022
2019,13115,4787
2020,22358,8297
