"tow_year","halibut_lb","other_lb"
2006,129655,30992
2007,62044,24106
2008,88513,24687
2009,134449,43430
2010,154518,43459
2011,131547,35068
2012,117468,53524
2013,134839,33981
2014,143639,40274
2015,163316,32494
2016,159346,27711
2017,161968,29963
2018,98096,36850
2019,105268,42548
2020,156295,24818
