PortCode,MajorPortCode,MajorPortName,CountyCode,PortName,DiscontinuedDate
888,9,SAN DIEGO,37,LA JOLLA,
889,9,SAN DIEGO,37,CHULA VISTA,
890,9,SAN DIEGO,37,DEL MAR,01/01/1996
891,9,SAN DIEGO,37,CARLSBAD,01/01/1996
893,9,SAN DIEGO,37,CARDIFF,01/01/1996
894,9,SAN DIEGO,37,ENCINITAS,01/01/1996
895,9,SAN DIEGO,37,SOLANA BEACH,01/01/1996
897,9,SAN DIEGO,37,VISTA,01/01/1996
898,9,SAN DIEGO,37,LA MESA,01/01/1996
899,9,SAN DIEGO,37,ESCONDIDO,01/01/1996
900,99,UNKNOWN MAJOR PORT,99,SOUTH OF CALIFORNIA (HOME PORT),01/01/1996
999,99,UNKNOWN MAJOR PORT,99,ALL OTHER PORTS,01/01/1996
1000,99,UNKNOWN MAJOR PORT,99,EAST OF CALIFORNIA (HOME PORT),01/01/1996
1002,99,UNKNOWN MAJOR PORT,99,EUREKA 2,01/01/1996
1003,99,UNKNOWN MAJOR PORT,99,UPPER SF BAY & SACRAMENTO RIVER,01/01/1996
1005,99,UNKNOWN MAJOR PORT,99,MONTEREY 2,01/01/1996
1006,99,UNKNOWN MAJOR PORT,99,SANTA BARBARA,01/01/1996
1007,99,UNKNOWN MAJOR PORT,99,LOS ANGELES 2,01/01/1996
0,99,UNKNOWN MAJOR PORT,99,INVALID OR UNKNOWN PORT,
199,12,OREGON,99,BROOKINGS,

