PortCode,MajorPortCode,MajorPortName,CountyCode,PortName,DiscontinuedDate
331,3,BODEGA BAY,34,THREE MILE SLOUGH,01/01/1996
332,3,BODEGA BAY,34,STEAMBOAT SLOUGH,01/01/1996
337,3,BODEGA BAY,39,WOODBRIDGE,01/01/1996
338,3,BODEGA BAY,39,LATHROP,01/01/1996
339,3,BODEGA BAY,7,OLD RIVER,01/01/1996
341,4,SAN FRANCISCO,48,BENICIA,
342,3,BODEGA BAY,48,COLLINSVILLE,01/01/1996
343,10,SACRAMENTO DELTA,34,COURTLAND,
345,3,BODEGA BAY,7,PITTSBURG,
346,10,SACRAMENTO DELTA,34,LOCKE,
347,3,BODEGA BAY,39,LODI,01/01/1996
348,4,SAN FRANCISCO,7,MARTINEZ,
349,3,BODEGA BAY,34,ISLETON,01/01/1996
350,3,BODEGA BAY,57,BRYTE,01/01/1996
351,10,SACRAMENTO DELTA,48,RIO VISTA,
352,10,SACRAMENTO DELTA,39,STOCKTON,
354,3,BODEGA BAY,34,WALNUT GROVE,01/01/1996
356,3,BODEGA BAY,7,ANTIOCH,01/01/1996
357,4,SAN FRANCISCO,7,CROCKETT,
358,3,BODEGA BAY,17,LAKEPORT,01/01/1996
359,3,BODEGA BAY,39,ACAMPO,01/01/1996
360,3,BODEGA BAY,7,ANTIOCH BRIDGE,01/01/1996
361,3,BODEGA BAY,17,CLEAR LAKE,01/01/1996
362,3,BODEGA BAY,57,BRODERICK,01/01/1996
363,10,SACRAMENTO DELTA,57,CLARKSBURG,
364,3,BODEGA BAY,34,ELK GROVE,01/01/1996
365,3,BODEGA BAY,6,COLUSA,01/01/1996
366,10,SACRAMENTO DELTA,57,KNIGHTS LANDING,
367,3,BODEGA BAY,7,PORT COSTA,01/01/1996
368,3,BODEGA BAY,34,HOOD,01/01/1996
369,3,BODEGA BAY,51,VERONA,01/01/1996
370,3,BODEGA BAY,50,PATTERSON,01/01/1996
371,3,BODEGA BAY,17,LUCERNE,01/01/1996
372,3,BODEGA BAY,39,MIDDLE RIVER,01/01/1996
373,3,BODEGA BAY,4,GRIDLEY,01/01/1996
374,3,BODEGA BAY,51,YUBA CITY,01/01/1996
376,3,BODEGA BAY,50,MODESTO,01/01/1996
377,3,BODEGA BAY,17,UPPER LAKE,01/01/1996
378,3,BODEGA BAY,39,TRACY,01/01/1996
379,3,BODEGA BAY,39,MANTECA,01/01/1996
387,3,BODEGA BAY,7,OAKLEY,01/01/1996
388,3,BODEGA BAY,29,TRUCKEE,01/01/1996
390,3,BODEGA BAY,57,WOODLAND,01/01/1996
391,11,INLAND WATERS,26,MONO LAKE,
393,3,BODEGA BAY,34,RIO LINDA,01/01/1996
394,3,BODEGA BAY,26,LEE VINING,01/01/1996
395,3,BODEGA BAY,51,NICOLAUS,01/01/1996
396,3,BODEGA BAY,9,EL DORADO HILLS,01/01/1996
397,3,BODEGA BAY,57,YOLO,01/01/1996
398,3,BODEGA BAY,48,CORDELIA,01/01/1996
400,4,SAN FRANCISCO,99,SAN FRANCISCO AREA,01/01/1997
401,4,SAN FRANCISCO,1,FREMONT,
402,4,SAN FRANCISCO,7,ALAMO,01/01/1996
403,4,SAN FRANCISCO,43,LOS GATOS,01/01/1996
404,4,SAN FRANCISCO,21,FORREST KNOLLS,01/01/1996
405,4,SAN FRANCISCO,28,SAINT HELENA,01/01/1996
406,4,SAN FRANCISCO,43,MONTE VISTA,01/01/1996
407,4,SAN FRANCISCO,49,ROHNERT PARK,01/01/1996
408,4,SAN FRANCISCO,21,GREENBRAE,01/01/1996
409,4,SAN FRANCISCO,41,FOSTER CITY,
410,4,SAN FRANCISCO,41,BURLINGAME,01/01/1996
411,4,SAN FRANCISCO,43,LOS ALTOS,01/01/1996
412,4,SAN FRANCISCO,48,GLEN COVE,
413,3,BODEGA BAY,1,LIVERMORE,01/01/1996
414,4,SAN FRANCISCO,41,SAN BRUNO,01/01/1996
415,4,SAN FRANCISCO,21,NICASIO,01/01/1996
416,4,SAN FRANCISCO,28,YOUNTVILLE,01/01/1996
417,4,SAN FRANCISCO,1,NEWARK,
419,4,SAN FRANCISCO,49,SONOMA,01/01/1996
420,4,SAN FRANCISCO,49,GUERNEVILLE,01/01/1996
422,4,SAN FRANCISCO,7,EL SOBRANTE,01/01/1996
423,4,SAN FRANCISCO,21,MUIR BEACH,01/01/1996
424,3,BODEGA BAY,49,TIMBER COVE,
425,4,SAN FRANCISCO,1,EMERYVILLE,
426,4,SAN FRANCISCO,21,KENTFIELD,01/01/1996
427,2,FORT BRAGG,23,ANCHOR BAY,
428,4,SAN FRANCISCO,7,EL CERRITO,01/01/1996
429,4,SAN FRANCISCO,28,NAPA,01/01/1996
430,4,SAN FRANCISCO,1,SAN LEANDRO,
431,4,SAN FRANCISCO,21,MILL VALLEY,01/01/1996
432,4,SAN FRANCISCO,7,LAFAYETTE,01/01/1996
434,4,SAN FRANCISCO,43,MOUNTAIN VIEW,01/01/1996
435,4,SAN FRANCISCO,49,HEALDSBURG,01/01/1996
436,4,SAN FRANCISCO,1,HAYWARD,01/01/1996
437,3,BODEGA BAY,21,DRAKES BAY,
438,4,SAN FRANCISCO,43,SUNNYVALE,01/01/1996
439,4,SAN FRANCISCO,41,PACIFICA,
440,4,SAN FRANCISCO,38,SAN FRANCISCO,
441,3,BODEGA BAY,21,DILLON BEACH,
442,4,SAN FRANCISCO,41,REDWOOD CITY,
443,4,SAN FRANCISCO,41,MOSS BEACH,01/01/1996
444,4,SAN FRANCISCO,41,SAN CARLOS,01/01/1996
445,4,SAN FRANCISCO,41,MARTINS BEACH,01/01/1996
446,4,SAN FRANCISCO,43,CAMPBELL,01/01/1996
447,4,SAN FRANCISCO,49,STEWARTS POINT,01/01/1996
448,4,SAN FRANCISCO,41,DALY CITY,01/01/1996
449,4,SAN FRANCISCO,43,ALVISO,
450,4,SAN FRANCISCO,7,PINOLE,
451,4,SAN FRANCISCO,7,RODEO,
452,4,SAN FRANCISCO,41,PRINCETON-HALF MOON,
453,4,SAN FRANCISCO,48,VALLEJO,
