"year","halibut_landings_n","nonhalibut_landings_n","halibut_discards_n","nonhalibut_discards_n","halibut_discards_alive_n","nonhalibut_discards_alive_n","halibut_discards_dead_n","nonhalibut_discards_dead_n","halibut_discards_unknown_n","nonhalibut_discards_unknown_n"
1994,1265,1496,269,6833,164,3409,100,3304,5,120
2006,7,38,0,59,0,48,0,10,0,1
2007,155,183,32,1124,25,634,7,430,0,60
2010,105,127,14,1467,7,299,7,1168,0,0
2011,65,79,3,183,2,47,1,132,0,4
2012,100,351,21,413,8,257,13,155,0,1
2013,42,52,5,341,2,145,3,196,0,0
2017,488,451,20,1282,5,458,15,813,0,11
